IdNational,BfID,Nom,Prenom,Ville,Region,Telephone,Email,Etablissement
180169574339054,null,Frye,Zachery,Saint Cloud,IDF,0646307229,fryezachery@aol.net,Ecole du Louvre
153218114858800,null,Macdonald,Evan,Paris,IDF,0616511863,m_evan@yahoo.edu,Paris 13
124792363656855,null,Nicholson,Nolan,Villejuif,IDF,0671529518,nicholson_nolan3985@yahoo.fr,Paris 8
121530888675718,null,Gray,Cedric,Choisy Le Roi,IDF,0661613487,cedric_gray@hotmail.fr,Paris 7
199119528183538,null,Osborne,Damon,Asnieres,IDF,0656795312,o-damon8877@yahoo.com,Paris 13
106312182554386,null,Nolan,Devin,Montreuil,IDF,0667113412,devin-nolan224@aol.net,Université Sorbonne
159128231768113,null,Brewer,Philip,Saint Denis,IDF,0624368049,bphilip936@aol.edu,Université de Nanterre
187875176180220,null,Vazquez,Kelly,Vaucresson,IDF,0644194767,k_vazquez8551@yahoo.org,UVSQ
113394922215098,null,Lowery,Lester,Saint Ouen,IDF,0681195121,lester.lowery7650@outlook.edu,Paris 8
152085089420575,null,Barrera,Bradley,Paris,IDF,0664386691,b.bradley@aol.edu,Paris 13
111874781229216,null,Palmer,Hakeem,Saint Denis,IDF,0655730104,hakeempalmer8182@yahoo.com,Université Sorbonne
163133744217150,null,Banks,Arden,Paris,IDF,0614752210,a-banks8936@icloud.edu,Paris 13
168081787313526,null,Chan,Rogan,Versailles,IDF,0668485476,roganchan1999@google.net,UVSQ
173389358445288,null,Mcgee,Preston,Saint Denis,IDF,0602525346,prestonmcgee@icloud.net,Université Sorbonne
123648488864224,null,Higgins,Kasper,Saint Denis,IDF,0673166340,kasper.higgins1382@aol.fr,Paris 8
119413728490324,null,Thomas,Kenyon,Paris,IDF,0623718079,t-kenyon@yahoo.fr,Université Paris Dauphine
187138228356943,null,Woodward,Lucas,Neuilly-sur-Seine,IDF,0681416798,w.lucas3585@icloud.net,Université Paris Dauphine
189855180313248,null,Cobb,Rajah,Versailles,IDF,0686118885,r_cobb6076@hotmail.fr,UVSQ
179398681667123,null,Fox,Ezekiel,Levallois,IDF,0698826692,f.ezekiel7216@icloud.com,Paris 8
194585128568986,null,Mercado,Jarrod,Suresnes,IDF,0622547439,m_jarrod@protonmail.fr,Sorbonne Université
269373107343556,null,Mcfadden,Miriam,Versailles,IDF,0627498736,mcfaddenmiriam@outlook.org,UVSQ
253560892885608,null,Blair,Ivana,Saint Cloud,IDF,0637060586,ivana-blair@aol.com,UVSQ
225141774728678,null,Nieves,Hedwig,Chatou,IDF,0685582908,h.nieves@aol.com,Paris 12
277233022476216,null,Guthrie,Lysandra,Saint-Quentin,IDF,0648351432,guthrie.lysandra4102@icloud.edu,UVSQ
234659655572987,null,Richards,Marcia,Versailles,IDF,0604244364,marcia-richards@icloud.org,UVSQ
297963325763089,null,Cameron,Vivian,Versailles,IDF,0652875657,vivian_cameron@google.fr,UVSQ
207837643641441,null,Sparks,Chelsea,Versailles,IDF,0661520252,chelsea-sparks9546@aol.fr,ENSA-V
230614878878426,null,Hickman,Maile,Versailles,IDF,0604371508,maile_hickman8644@yahoo.com,UVSQ
211448682388446,null,Hebert,Destiny,Choisy Le Roi,IDF,0671183144,d-hebert3675@aol.fr,Université Paris Dauphine
291184886567154,null,Sanders,India,Paris,IDF,0667308709,sanders.india@yahoo.edu,Université de Nanterre
250318284412676,null,Medina,Kevyn,Versailles,IDF,0660087673,kevyn.medina@protonmail.net,UVSQ
264003683868277,null,Hale,Quintessa,Saint Denis,IDF,0618916862,q_hale3545@outlook.fr,Paris 8
272562324229551,null,Mclaughlin,Shaine,Sartrouville,IDF,0616457489,shaine-mclaughlin@google.edu,Université de Nanterre
244662078305131,null,William,Jorden,Nogent-sur-Marne,IDF,0687313685,william.jorden9068@protonmail.org,Sorbonne Université
201237737406573,null,Fernandez,Samantha,Juvisy,IDF,0657433562,sfernandez@outlook.org,Paris 13
274304722486745,null,Brooks,Nyssa,Montreuil,IDF,0634844873,b-nyssa@aol.com,Paris 7
204671886210435,null,Mcintosh,Ella,Versailles,IDF,0642625343,e-mcintosh3943@icloud.fr,UVSQ
283232173918104,null,Horn,Jolie,Saint Denis,IDF,0615813474,h-jolie@protonmail.edu,Paris 13
283472343488980,null,Hicks,Paloma,Saint-Cyr,IDF,0677627441,paloma_hicks@outlook.fr,UVSQ
240765633239576,null,Mcguire,Clio,Paris,IDF,0675159765,mclio9992@protonmail.edu,Sorbonne Université
