IdNational,BvID,Nom,Prenom,Ville,Region,Telephone,Email
223123774139211,null,Rollins,Sage,Versailles,IDF,0619556324,r.sage2621@icloud.fr
238981508213983,null,Gill,Iona,Paris,IDF,0636666126,g_iona@protonmail.net
272211935674368,null,Finch,Charity,Versailles,IDF,0647163335,finch.charity@outlook.net
284812814425650,null,Vazquez,Ruth,Choisy Le Roi,IDF,0682229100,ruth-vazquez4542@icloud.edu
295786039673642,null,Sutton,Madeline,Paris,IDF,0677568400,m.sutton4918@hotmail.com
245499731272401,null,Stanton,Aretha,Saint Quentin,IDF,0687765518,a_stanton1230@google.fr
240209861185623,null,Church,Calista,Saint Denis,IDF,0622651887,ccalista7207@icloud.edu
273144691618085,null,Keller,Medge,Saint Cloud,IDF,0611107164,k_medge1978@icloud.org
262626818434381,null,Peck,Athena,Mantes La Jolie,IDF,0670917322,p_athena4880@hotmail.org
222294335679163,null,Mcknight,Yoshi,Argenteuil,IDF,0618055009,mcknight.yoshi@protonmail.edu
272537203196874,null,Acosta,Brielle,Nanterre,IDF,0688925351,b-acosta3474@protonmail.net
276919911152907,null,May,Lani,Bobiny,IDF,0652135262,m.lani@yahoo.net
239759717858664,null,Beasley,Elizabeth,Montreuil,IDF,0698877275,b.elizabeth1251@icloud.fr
289014399133364,null,Mills,Lenore,Gif Sur Yvettes,IDF,0677047368,m_lenore5277@yahoo.fr
297543048273131,null,Flowers,Larissa,Orsay,IDF,0606507053,larissa-flowers6456@icloud.org
196238658754452,null,Jones,Bert,Cergy,IDF,0633405686,j_bert9875@hotmail.org
168236331823445,null,Nieves,Deacon,Paris,IDF,0612241404,n_deacon8203@protonmail.fr
168540656505152,null,Kennedy,Jasper,Paris,IDF,0685136654,kennedyjasper@outlook.net
144438783228531,null,Herman,Sean,Paris,IDF,0699412728,h-sean6777@yahoo.net
124952228718582,null,Barrett,Erich,Paris,IDF,0608914657,ebarrett1692@outlook.fr
172303478436512,null,Hickman,Ivan, Saint Denis,IDF,0663678532,i-hickman5818@aol.org
149340766310415,null,Mclean,Malcolm,Paris,IDF,0645435729,m-malcolm@hotmail.fr
176549187839514,null,York,Thane, Saint Denis,IDF,0611732738,t-york@icloud.net
107753069551388,null,Lawson,Derek, Saint Denis,IDF,0669865963,lawson_derek@protonmail.net
127881589069375,null,Sosa,Jonas,Paris,IDF,0699746278,j-sosa6291@protonmail.edu
188774766833894,null,Gray,Tobias,Paris,IDF,0653429632,gray.tobias@icloud.fr
132761596536884,null,Vance,Stuart,Mantes La Jolie,IDF,0636502415,stuart-vance9593@google.org
134778182656553,null,Higgins,David,Saint Quentin,IDF,0687714307,davidhiggins@aol.org
177150586616866,null,Massey,Caesar,Nanterre,IDF,0662583673,mcaesar6631@protonmail.org
134328429843733,null,Shaw,Shad,Versailles,IDF,0621223657,shaw.shad3577@yahoo.edu
